OrderID,CustomerID,ProductID,StoreID,PromotionID,PaymentMethodID,DateID,PurchaseDate,QuantitySold,TotalSales,DiscountAmount,NetSales
ORDER_000000,CUST_000149,PROD_000031,STORE_000002,PROMO_000009,PAY_000000,DATE_20220502,2022-05-02,10,1013.8,162.41,851.39
ORDER_000001,CUST_000114,PROD_000026,STORE_000011,PROMO_000019,PAY_000001,DATE_20200412,2020-04-12,8,2180.4,934.96,1245.44
ORDER_000002,CUST_000122,PROD_000048,STORE_000011,PROMO_000002,PAY_000002,DATE_20240507,2024-05-07,3,2100.72,423.3,1677.42
ORDER_000003,CUST_000132,PROD_000041,STORE_000008,PROMO_000006,PAY_000003,DATE_20201201,2020-12-01,10,2306.9,917.92,1388.98
ORDER_000004,CUST_000193,PROD_000030,STORE_000016,PROMO_000013,PAY_000004,DATE_20230127,2023-01-27,4,874.08,296.58,577.5
ORDER_000005,CUST_000051,PROD_000042,STORE_000010,PROMO_000001,PAY_000005,DATE_20211128,2021-11-28,3,1072.89,390.75,682.14
ORDER_000006,CUST_000063,PROD_000022,STORE_000004,PROMO_000009,PAY_000006,DATE_20240206,2024-02-06,8,4788.56,767.13,4021.43
ORDER_000007,CUST_000107,PROD_000014,STORE_000001,PROMO_000012,PAY_000007,DATE_20240629,2024-06-29,10,8574.1,684.21,7889.89
ORDER_000008,CUST_000127,PROD_000010,STORE_000008,PROMO_000012,PAY_000008,DATE_20210828,2021-08-28,7,5665.94,2611.43,3054.51
ORDER_000009,CUST_000168,PROD_000010,STORE_000002,PROMO_000009,PAY_000009,DATE_20240811,2024-08-11,1,786.77,126.04,660.73
ORDER_000010,CUST_000057,PROD_000002,STORE_000001,PROMO_000013,PAY_000010,DATE_20240919,2024-09-19,3,1715.04,581.91,1133.13
ORDER_000011,CUST_000143,PROD_000047,STORE_000019,PROMO_000001,PAY_000011,DATE_20241210,2024-12-10,4,3797.56,771.28,3026.28
ORDER_000012,CUST_000035,PROD_000047,STORE_000004,PROMO_000005,PAY_000012,DATE_20201024,2020-10-24,8,5015.36,1496.58,3518.78
ORDER_000013,CUST_000157,PROD_000012,STORE_000006,PROMO_000016,PAY_000013,DATE_20200219,2020-02-19,9,3677.4,1832.45,1844.95
ORDER_000014,CUST_000115,PROD_000003,STORE_000010,PROMO_000010,PAY_000014,DATE_20240922,2024-09-22,3,403.5,188.19,215.31
ORDER_000015,CUST_000067,PROD_000038,STORE_000014,PROMO_000001,PAY_000015,DATE_20211111,2021-11-11,4,2956.8,600.53,2356.27
ORDER_000016,CUST_000125,PROD_000033,STORE_000008,PROMO_000003,PAY_000016,DATE_20230906,2023-09-06,4,2224.64,959.71,1264.93
ORDER_000017,CUST_000020,PROD_000047,STORE_000020,PROMO_000018,PAY_000017,DATE_20221014,2022-10-14,5,2184.9,397.87,1787.03
ORDER_000018,CUST_000086,PROD_000050,STORE_000016,PROMO_000019,PAY_000018,DATE_20220721,2022-07-21,6,62.4,6.11,56.29
ORDER_000019,CUST_000039,PROD_000024,STORE_000012,PROMO_000010,PAY_000019,DATE_20200823,2020-08-23,4,2596.2,508.6,2087.6
ORDER_000020,CUST_000181,PROD_000032,STORE_000001,PROMO_000010,PAY_000020,DATE_20220605,2022-06-05,4,3093.64,460.33,2633.31
ORDER_000021,CUST_000105,PROD_000030,STORE_000009,PROMO_000017,PAY_000021,DATE_20221212,2022-12-12,6,4143.72,420.59,3723.13
ORDER_000022,CUST_000016,PROD_000039,STORE_000001,PROMO_000014,PAY_000022,DATE_20240724,2024-07-24,4,1096.56,163.06,933.5
ORDER_000023,CUST_000198,PROD_000034,STORE_000007,PROMO_000010,PAY_000023,DATE_20230114,2023-01-14,10,456.7,67.96,388.74
ORDER_000024,CUST_000098,PROD_000023,STORE_000002,PROMO_000004,PAY_000024,DATE_20211121,2021-11-21,8,5286.4,1539.93,3746.47
ORDER_000025,CUST_000077,PROD_000028,STORE_000011,PROMO_000011,PAY_000025,DATE_20240807,2024-08-07,7,5663.21,2377.42,3285.79
ORDER_000026,CUST_000192,PROD_000025,STORE_000018,PROMO_000012,PAY_000026,DATE_20230507,2023-05-07,9,5624.55,2592.36,3032.19
ORDER_000027,CUST_000057,PROD_000022,STORE_000006,PROMO_000009,PAY_000027,DATE_20241103,2024-11-03,5,643.45,103.08,540.37
ORDER_000028,CUST_000008,PROD_000008,STORE_000010,PROMO_000014,PAY_000028,DATE_20230801,2023-08-01,7,6027.28,2736.39,3290.89
ORDER_000029,CUST_000186,PROD_000048,STORE_000009,PROMO_000008,PAY_000029,DATE_20220210,2022-02-10,3,1536.15,189.25,1346.9
ORDER_000030,CUST_000160,PROD_000021,STORE_000013,PROMO_000004,PAY_000030,DATE_20210226,2021-02-26,9,1745.73,508.53,1237.2
ORDER_000031,CUST_000152,PROD_000037,STORE_000011,PROMO_000005,PAY_000031,DATE_20200506,2020-05-06,10,2443.7,1034.17,1409.53
ORDER_000032,CUST_000165,PROD_000044,STORE_000016,PROMO_000018,PAY_000032,DATE_20200905,2020-09-05,7,4204.27,216.52,3987.75
ORDER_000033,CUST_000047,PROD_000026,STORE_000014,PROMO_000001,PAY_000033,DATE_20210914,2021-09-14,1,221.02,80.5,140.52
ORDER_000034,CUST_000084,PROD_000041,STORE_000016,PROMO_000008,PAY_000034,DATE_20201218,2020-12-18,4,922.76,329.98,592.78
ORDER_000035,CUST_000087,PROD_000019,STORE_000018,PROMO_000019,PAY_000035,DATE_20220215,2022-02-15,7,475.3,157.51,317.79
ORDER_000036,CUST_000065,PROD_000005,STORE_000012,PROMO_000015,PAY_000036,DATE_20241201,2024-12-01,2,810.0,288.52,521.48
ORDER_000037,CUST_000192,PROD_000039,STORE_000008,PROMO_000009,PAY_000037,DATE_20211220,2021-12-20,9,2467.26,716.49,1750.77
ORDER_000038,CUST_000058,PROD_000043,STORE_000015,PROMO_000018,PAY_000038,DATE_20210127,2021-01-27,2,248.38,30.1,218.28
ORDER_000039,CUST_000064,PROD_000017,STORE_000006,PROMO_000005,PAY_000039,DATE_20220722,2022-07-22,4,3941.84,1668.19,2273.65
ORDER_000040,CUST_000040,PROD_000021,STORE_000007,PROMO_000020,PAY_000040,DATE_20200102,2020-01-02,4,775.88,95.2,680.68
ORDER_000041,CUST_000172,PROD_000023,STORE_000007,PROMO_000012,PAY_000041,DATE_20240510,2024-05-10,2,646.42,297.93,348.49
ORDER_000042,CUST_000180,PROD_000049,STORE_000016,PROMO_000002,PAY_000042,DATE_20230711,2023-07-11,5,3402.7,1635.68,1767.02
