PaymentMethodID,PaymentType,Provider
PAY_000000,Cash,PayPal
PAY_000001,credit card,Amex
PAY_000002,debit card,Maestro
PAY_000003,Cash,Visa
PAY_000004,Cash,MasterCard
PAY_000005,debit card,Visa
PAY_000006,debit card,PayPal
PAY_000007,credit card,PayPal
PAY_000008,credit card,MasterCard
PAY_000009,debit card,PayPal
PAY_000010,Mobile Payment,Visa
PAY_000011,debit card,PayPal
PAY_000012,Cash,PayPal
PAY_000013,Mobile Payment,Amex
PAY_000014,Mobile Payment,PayPal
PAY_000015,Cash,Amex
PAY_000016,Cash,PayPal
PAY_000017,credit card,Maestro
PAY_000018,debit card,MasterCard
PAY_000019,Mobile Payment,MasterCard
PAY_000020,debit card,PayPal
PAY_000021,Mobile Payment,PayPal
PAY_000022,Mobile Payment,PayPal
PAY_000023,debit card,Amex
PAY_000024,debit card,Maestro
PAY_000025,Mobile Payment,Amex
PAY_000026,credit card,PayPal
PAY_000027,Mobile Payment,PayPal
PAY_000028,Cash,PayPal
PAY_000029,Mobile Payment,MasterCard
PAY_000030,debit card,PayPal
PAY_000031,debit card,Visa
PAY_000032,credit card,PayPal
PAY_000033,Cash,PayPal
PAY_000034,Mobile Payment,Maestro
PAY_000035,Cash,PayPal
PAY_000036,Mobile Payment,Visa
PAY_000037,debit card,Maestro
PAY_000038,debit card,Visa
PAY_000039,debit card,Amex
PAY_000040,credit card,PayPal
PAY_000041,credit card,PayPal
PAY_000042,Cash,MasterCard
PAY_000043,debit card,MasterCard
PAY_000044,debit card,Maestro
PAY_000045,Mobile Payment,MasterCard
PAY_000046,credit card,Visa
PAY_000047,debit card,Amex
PAY_000048,Mobile Payment,Maestro
PAY_000049,Cash,Visa
PAY_000050,debit card,PayPal
PAY_000051,credit card,PayPal
PAY_000052,Cash,Amex
PAY_000053,Mobile Payment,PayPal
PAY_000054,Cash,Maestro
PAY_000055,Cash,PayPal
PAY_000056,Mobile Payment,Maestro
PAY_000057,Cash,MasterCard
PAY_000058,Cash,Maestro
PAY_000059,Cash,Amex
PAY_000060,credit card,Visa
PAY_000061,Mobile Payment,Amex
PAY_000062,Mobile Payment,PayPal
PAY_000063,debit card,Maestro
PAY_000064,credit card,Maestro
PAY_000065,Cash,PayPal
PAY_000066,Cash,PayPal
PAY_000067,Cash,Maestro
PAY_000068,Cash,Maestro
PAY_000069,debit card,MasterCard
PAY_000070,credit card,MasterCard
PAY_000071,Cash,Amex
PAY_000072,Cash,Visa
PAY_000073,credit card,Maestro
PAY_000074,debit card,Amex
PAY_000075,debit card,Visa
PAY_000076,credit card,PayPal
PAY_000077,Cash,PayPal
PAY_000078,Cash,MasterCard
PAY_000079,Mobile Payment,Visa
PAY_000080,Mobile Payment,Visa
PAY_000081,credit card,MasterCard
PAY_000082,debit card,MasterCard
PAY_000083,Mobile Payment,Amex
PAY_000084,credit card,Amex
PAY_000085,Mobile Payment,Maestro
PAY_000086,Cash,Amex
PAY_000087,debit card,MasterCard
PAY_000088,Cash,Visa
PAY_000089,credit card,Amex
PAY_000090,debit card,PayPal
PAY_000091,Mobile Payment,Maestro
PAY_000092,Cash,Maestro
PAY_000093,debit card,MasterCard
PAY_000094,credit card,PayPal
PAY_000095,credit card,MasterCard
PAY_000096,debit card,Visa
PAY_000097,Cash,PayPal
PAY_000098,Cash,PayPal
PAY_000099,Mobile Payment,PayPal
PAY_000100,debit card,PayPal
PAY_000101,Cash,Visa
PAY_000102,debit card,Maestro
PAY_000103,credit card,PayPal
PAY_000104,Cash,MasterCard
PAY_000105,Mobile Payment,Visa
PAY_000106,Mobile Payment,Maestro
PAY_000107,credit card,Maestro
PAY_000108,Cash,PayPal
PAY_000109,debit card,PayPal
PAY_000110,Cash,Maestro
PAY_000111,debit card,Amex
PAY_000112,debit card,MasterCard
PAY_000113,Mobile Payment,PayPal
PAY_000114,credit card,Maestro
PAY_000115,Cash,PayPal
PAY_000116,debit card,Visa
PAY_000117,credit card,MasterCard
PAY_000118,debit card,Amex
PAY_000119,credit card,Visa
PAY_000120,credit card,PayPal
PAY_000121,Cash,PayPal
PAY_000122,credit card,PayPal
PAY_000123,Mobile Payment,MasterCard
PAY_000124,credit card,Visa
PAY_000125,Cash,Amex
PAY_000126,Cash,Maestro
PAY_000127,Mobile Payment,MasterCard
PAY_000128,Mobile Payment,Maestro
PAY_000129,Mobile Payment,PayPal
PAY_000130,credit card,Amex
PAY_000131,Mobile Payment,Visa
PAY_000132,Mobile Payment,PayPal
PAY_000133,Mobile Payment,Visa
PAY_000134,Cash,Visa
PAY_000135,Mobile Payment,Visa
PAY_000136,Mobile Payment,MasterCard
